organism	temperature
Actinomyces coeliatus	26
Actinomyces coelicolor	26
Actinomyces coerulatus	26
Actinomyces coeruleofuscus	26
Actinomyces coeruleorubidus	26
Actinomyces coleocanis	37
Actinomyces cretaceus	26
Actinomyces cyaneofuscatus	26
Actinomyces cyanoalbus	26
Actinomyces cyanocolor	26
Actinomyces cyanogenus	26
Actinomyces cyanoglomerus	26
Actinomyces daghestanicus	26
Actinomyces dentalis	37
Actinomyces denticolens	37
Actinomyces diastaticus	26
Actinomyces enissocaesilis	28
Actinomyces eriksonii	37
Actinomyces europaeus	37
Actinomyces finlayi	26
Actinomyces flavofungini	28
Actinomyces flavotricini	26
Actinomyces flavovariabilis	28
Actinomyces flavovirens	26
Actinomyces flavoviridis	28
Actinomyces fluorescens	26
Actinomyces fulvoviridis	26
Actinomyces funkei	37
Actinomyces gedanensis	26
Actinomyces gelaticus	26
Actinomyces georgiae	37
Actinomyces gerencseriae	37
Actinomyces gibsonii	26
Actinomyces glaucescens	26
Actinomyces glaucosporus	37
Actinomyces glaucus	28
Actinomyces globisporus	26
Actinomyces glomeroaurantiacus	26
Actinomyces graevenitzii	37
Actinomyces griseoaurantiacus	26
Actinomyces griseoincarnatus	26
Actinomyces griseoloalbus	26
Actinomyces griseomycini	26
Actinomyces griseorubiginosus	26
Actinomyces griseostramineus	26
Actinomyces griseus	26
Actinomyces helvaticus	26
Actinomyces hominis	30
Actinomyces hongkongensis	37
Actinomyces hordeovulneris	37
Actinomyces howellii	37
Actinomyces humiferus	30
Actinomyces hygroscopicus	26
Actinomyces hyovaginalis	37
Actinomyces indigocolor	26
Actinomyces intermedius	26
Actinomyces israelii	37
Actinomyces janthinus	26
Actinomyces johnsonii	37
Actinomyces kurssanovii	26
Actinomyces lavendofoliae	26
Actinomyces lavendulae	26
Actinomyces lazureus	26
Actinomyces levoris	26
Actinomyces lingnae	37
Actinomyces lipmanii	26
Actinomyces litmocolor	26
Actinomyces lividans	26
Actinomyces longisporus	26
Actinomyces longissimus	26
Actinomyces malachitofuscus	26
Actinomyces malachitorectus	26
Actinomyces malachitospinus	28
Actinomyces marimammalium	37
Actinomyces massiliensis	34
Actinomyces megasporus	45
Actinomyces meyeri	37
Actinomyces microflavus	26
Actinomyces naeslundii	37
Actinomyces nasicola	37
Actinomyces naturae	37
